档号	姓名	人员性质	性别	岗位设置单位	身份证号
j4731	钱垛妢	公办	女	畮覮大学	330501197805220820
j4732	钱与颛	人代	男	莜墾大学	330523198010092119
j4762	殷逸豫	人代	女	憘謆大学	330523198809302121
j4875	唐鴖晍	人代	女	胵嫘大学	330523680708072
j4912	梁夀蚢	公办	女	甤媶大学	33052319600206184X
j4975	黄鼘綃	人代	女	镦嘠大学	330523197211172524
j5007	黄敔杘	人代	女	辮繾大学	330523198909111824
j5035	黄鑮鼑	公办	男	哯匚大学	33052319770501581X
j5433	程鸶忎	公办	男	錚紌大学	330523197808193010
j5615	储惟慥	公办	男	祢巋大学	330523197512243613
j5770	臧蜴翛	公办	男	馊稹大学	330523590502161
j4196B	徐灥俌	人代	男	曚硧大学	330523830106111
j5486B	傅焳鄮	人代	女	闎驇大学	330523198506132524
g9.172	梁嵌瘻	合同工	男	瞌煿大学	330523197305253018
j334	王竜腒	人代	男	曎臯大学	320830198405010411
j507	王绁吼	人代	男	埔頫大学	330523198311242512
j901	叶邆拈	公办	女	畣贅大学	330523198110280723
j908	叶滈谯	人代	女	鬫擶大学	330523198502100920
j1592	孙嬱両	人代	女	軌畽大学	330523198311195429
j1593	孙閒轋	人代	女	鯡阸大学	330523198301080054
j1776	李鯅済	公办	男	橯鎔大学	330523195708303017
j1828	李继鸋	人代	男	积仑大学	330523198308050018
j1892	李怱羷	公办	女	狲在大学	330502197002220022
j1894	李筨躐	公办	男	疰譩大学	330523195403143016
j1929	李顈凢	公办	男	怉沽大学	330523197509263015
j1934	李鼵溓	公办	女	騌鼫大学	330523197603063423
j2128	吴螝绣	人代	女	浧塛大学	330523198110316220
j2182	肖筿瘽	人代	女	吚皛大学	330523197504142820
j2250	汪夗圪	公办	女	詻齲大学	330523196507233045
j2276	汪躞軳	公办	女	塞稗大学	330523198012243021
j2368	宋榩歝	公办	男	仠嫊大学	330523198010113418
j2683	陈痄粘	人代	女	夸苕大学	330523198605204722
j2875	余泆鼙	公办	女	遴衑大学	330523198203170021
j2898	余萘偯	公办	男	撡鮕大学	330523195407033017
j3255	林硽鍩	公办	女	毼璒大学	330523198011252524
j3587	周靲譧	人代	女	煈匤大学	320922198306093026
j3817	张鎄梓	人代	女	殥溑大学	372922198503029024
j3838	张坆涤	人代	女	觀碥大学	330523198712293425
j4019	郑跓簗	公办	男	欉搷大学	330523197910243213
j4022	郑雹濐	公办	男	换憠大学	330523198008263214
j4118	胡瓅凜	人代	女	浢罻大学	330523198201203045
j4347	顾舾侽	人代	女	熓鄇大学	330523198811125021
j4348	顾蟝菃	人代	女	疰衿大学	330523198410026823
j4400	施趁捓	人代	女	櫳跾大学	330523198810114742
j4533	费袼蔷	公办	男	鸇吉大学	330523197907066412
j4595	姚德村	公办	男	葥寋大学	330523195610183010
j4650	陶轆姀	公办	男	轿羺大学	330523196103132811
j4907	梁鶒鯰	公办	男	斀頑大学	330501197910180859
j4974	黄顂噆	人代	女	咉僯大学	330523198011022120
j5036	黄賽喳	公办	女	銢鶨大学	330523198105293423
j5048	曹裩踟	人代	男	乓姩大学	330523198306182113
j5194	章醴皠	人代	女	簑僦大学	330523198507036622
j5301	董虬懂	公办	男	择鄕大学	33052319551226321X
j5311	董滷蜼	公办	男	澠魚大学	330523197909081317
j5312	董斅莶	公办	女	织畑大学	330523196604043024
j5333	韩箣邢	人代	女	狋隡大学	330523199003141327
j5351	彭偌顳	公办	男	浽椌大学	330523197211160013
j5449	程鯳泤	公办	男	犁覱大学	330523195508303012
j5510	鲍溻袧	人代	女	犁籖大学	330523198906076429
j5549	谢紈隗	公办	女	貁赀大学	330523197312103624
j5568	谢嶃斟	人代	女	躶舿大学	330523198411042120
j5810	康擺卩	人代	女	侴伞大学	330523198101093221
j5859	潘剃鲯	公办	女	愭愥大学	330523197312223626
j5923	魏狄栝	公办	男	奲舝大学	330523195604043038
j5955	操檩矕	人代	女	班嗲大学	330523198202103222
g8.173	陈乪疊	固定工	男	燛坣大学	33052319600820301X
g9.100	施缣厰	合同工	男	輮揾大学	330523197011041810
j32	丁唑頜	人代	女	誼儖大学	33052319861214182X
j190	卞东邯	公办	男	训椞大学	330523195511043418
j248	王騖穷	公办	男	之漣大学	330523197306153211
j250	王流旭	公办	男	愫粒大学	330523197807302510
j260	王糺瓥	公办	男	葩剪大学	330523196307022817
j406	王藈桥	人代	女	裪宔大学	342224197912040085
j500	王袰应	人代	女	绒欿大学	330523198106070029
j515	王泭鈤	人代	女	竦十大学	330523198010284727
j517	王涋鄳	人代	男	婻璌大学	330523197709170518
j649	方洇騠	公办	女	歖煡大学	33052319731127304X
j846	田萍录	公办	男	乔呪大学	330523790914471
j1283	朱栱鄭	人代	男	媂聿大学	330523198505303416
j1332	刘街齮	人代	男	籤絴大学	330523198610263612
j1390	刘輻股	人代	男	蒑銵大学	330523198312012815
j1434	刘恬橇	人代	女	讙璊大学	330523810615112
j1557	孙鼸鴘	人代	男	燓斨大学	330523198307270035
j1911	李廑眢	公办	男	鄰钂大学	330523196803263257
j2125	吴挸裱	人代	女	芸塾大学	330523198209243623
j2130	吴氟馝	人代	女	澽樛大学	330523198506253625
j2181	肖餤抌	人代	女	捾麮大学	330523198209172124
j2235	汪搣栃	公办	男	縙峏大学	330523197510013937
j2245	汪恦纥	公办	男	葰目大学	330523197010253213
j2277	汪湋電	人代	男	挢馂大学	342901197808315417
j2532	沈钻嶋	人代	女	貈鶏大学	330523830131302
j2583	沈恣邓	人代	男	帐鷤大学	330523830108111
j2673	陈韉篍	人代	女	薃稾大学	33052319820217432X
j2807	陈殤滳	公办	男	铳鼙大学	330523197809283210
j2892	余黟禿	公办	男	鉂蛠大学	330523195712163416
j2948	何勀悅	人代	女	唷崏大学	330523198308274329
j3100	邱黷氞	人代	女	掎鞊大学	330523198107134725
j3158	杨跎屫	人代	男	綯嗊大学	330523198206024716
j3223	杨驓岧	人代	女	干憪大学	330523820219502
j3333	罗脲沙	人代	男	蝧櫄大学	360502197708145314
j3397	竺鶾毬	公办	男	垕鲥大学	330523197710315614
j3561	周籏啂	公办	男	羱悺大学	330523710128451
j3863	张秐妩	公办	男	渮羑大学	330523560225341
j3932	张鎝廻	人代	男	揟唻大学	330523198109275011
j3937	张喕蚵	人代	女	殚軈大学	330523198110270023
j4154	赵善蟚	公办	男	鷊狪大学	33050219681103003X
j4252	徐耖旔	人代	男	箽颛大学	330523198207253035
j4540	胥劤秽	人代	女	儀璃大学	330523198306110021
j4541	胥嘭滜	人代	男	终済大学	330523198209253610
j4973	黄瑄曣	公办	男	醃刲大学	330523195501263214
j5054	曹惯騁	公办	男	碦僮大学	330523195806123415
j5075	盛尔鹘	人代	男	鱙鎛大学	330523198203056616
j5170	章燪伤	公办	男	螆筗大学	33052319730723681X
j5379	蒋蒷寇	人代	女	侫蘰大学	330523711116642
j5393	蒋夶橖	公办	男	晪橥大学	330523196802172134
j5446	程捌幈	人代	女	鉵狍大学	330523198510153029
j5483	程狟萿	人代	女	隞媩大学	330523198112063028
j5490	傅夯溡	人代	女	嬔脠大学	330523198011302528
j5504	傅靮昷	人代	女	糰尀大学	330523198110225644
j5550	谢昞佦	人代	女	綴篎大学	330523196801132827
j5556	谢锩幬	公办	男	摅楰大学	330523196601223214
g9.138	盛杘咵	固定工	男	櫎劇大学	330523196304192319
j1117	吕級訹	公办	男	礸稜大学	330523581203251
j1903	李轮杛	公办	男	淋狺大学	330104691025169
j2719	陈徼佛	公办	男	寵櫍大学	330523196711192316
j3884	张斮膶	公办	男	糙桡大学	330523197212015416
j5378	蒋櫗鱺	公办	男	顜賽大学	330523620120255
j5460	程黅繣	公办	男	鄱哐大学	330523540717303
g8.67	刘顑蝲	固定工	男	没兣大学	330523197802203038
g8.180	陈櫼岮	固定工	男	畧镺大学	33052319760130131X
g9.111	夏羴粐	固定工	男	鑙聁大学	330523197612011318
g9.121	钱嵎耿	固定工	男	瀢茳大学	330523630118181
g9.139	盛彦釫	固定工	男	齟倬大学	330523195808211312
j15	丁耴僯	人代	女	瞼玁大学	330523198108066445
j21	丁駿裕	人代	男	缛瞍大学	330523198105152313
j34	丁鳈嫩	人代	女	瘴牷大学	330523198804041321
j69	万齹课	公办	男	絹飡大学	330523197401132339
j134	马窛薡	公办	女	曤鴲大学	330523750814642
j470	王澑袊	公办	女	蝷讉大学	330501197901290861
j511	王甙垤	人代	男	揻仲大学	330523820927135
j618	方愰栈	人代	女	縒讆大学	330523198808303026
j708	邓袑穢	公办	男	妒禄大学	330523196707204310
j766	车滶膳	人代	女	跈稞大学	220802198301250323
j861	叶圇蔝	公办	男	騃慭大学	330523760123253
j1099	白獦鹇	公办	女	巁燱大学	330523196608171322
j1339	刘埃劯	人代	女	嘿燥大学	330523198201013049
j1340	刘鸝浑	人代	女	赺晾大学	330523198312251349
j1377	刘渚焼	人代	男	呥哞大学	371329198311074817
j1415	刘怊溯	公办	男	嗩嫙大学	330523197503201833
j1427	刘糅刑	人代	女	鎷乮大学	42088119841229142X
j1431	刘歶攂	人代	男	緕磬大学	342901197802275637
j1514	江萛氜	公办	女	熔汛大学	330523600408282
j1673	严廪古	人代	女	旬麼大学	330523198210230088
j1822	李犼溍	公办	男	鐓姈大学	330523195402041819
j1922	李毛諿	人代	女	樔埆大学	330523196504131342
j2077	吴郭嘛	公办	男	巃鎲大学	330523195509011812
j2173	肖歚櫔	公办	男	爰椾大学	330523197703141812
j2242	汪鶔贍	公办	男	革临大学	330523540105163
j2360	宋勜飅	人代	女	褡徢大学	330523198709071848
j2529	沈鸿峾	人代	女	犷拨大学	330523198501082126
j2533	沈檹嫽	公办	男	礖讉大学	330523540507251
j2537	沈筯足	人代	男	笽怓大学	339005830911611
j2676	陈晲仌	公办	男	弎髚大学	330523196511022814
j2678	陈鍦蔂	公办	男	邲嶚大学	330523197112081635
j2708	陈脠噆	公办	女	鉬擾大学	33052319751229252X
j2727	陈齄莓	公办	男	鋉葹大学	330523680729181
j2813	陈鴛甊	人代	女	燲碽大学	330523790304132
j2835	陈痑馥	人代	女	薍沕大学	33052319821206006X
j2935	何喎錆	公办	男	顉媊大学	330523670911003
j2939	何鶎颚	公办	男	弔阦大学	330523570828161
j2940	何苹耔	公办	男	杣恱大学	330523540728181
j2967	何鋩睲	公办	男	旣鉎大学	330523197612243418
j3014	邹夸德	人代	男	幨婑大学	362202197910065313
j3082	邱瘙傣	人代	女	術飫大学	330523790219392
j3122	杨栁总	人代	女	禱泒大学	330523198209301846
j3171	杨檦嚔	人代	女	鸖笺大学	330523790428072
j3195	杨脛瑻	人代	女	絿櫸大学	372930198010076324
j3218	杨鍅刘	人代	女	魫焋大学	330523830108132
j3250	林酕寢	人代	男	剶兇大学	330523197910291338
j3252	林戞覗	人代	男	厛祴大学	33052319801209111X
j3282	林韡毟	公办	男	厚払大学	33052319740929181X
j3289	林埄閐	人代	女	嚫示大学	330323198011112643
j3324	罗躶篷	公办	男	漑咡大学	330523195805281817
j3325	罗滂萘	公办	男	豫鯅大学	330523196606261332
j3490	欧泏嶘	人代	男	渜簜大学	342921197604232113
j3515	易籆缔	人代	女	秕碢大学	362422198111170820
j3597	周詄奌	公办	男	櫥孄大学	330523197209252816
j3631	周銨遁	人代	男	軪渋大学	330523197708051314
j3638	周芭鲟	人代	女	矤畝大学	362229197901200640
j3645	周鐌雔	人代	女	犍晹大学	33052319791129184X
j3778	张绻厃	人代	女	瑃尨大学	420122197907150060
j3856	张釩荥	公办	男	徬礻大学	330523197505181610
j3916	张棑線	公办	女	悪喘大学	330523197211143926
j3918	张界葬	公办	女	栦鮍大学	330523197301101826
j3951	张迧骈	人代	男	愁哟大学	330523198204071316
j4017	郑罁歵	人代	女	躠鴡大学	330523198209042127
j4274	徐絰獷	人代	男	新傟大学	330523198201111810
j4290	俞昐貑	公办	女	悢鈤大学	330523198106302125
j4465	洪嗲粑	人代	女	延壸大学	330523198812110040
j4579	姚髙敬	公办	女	摛尅大学	330523670125212
j4651	陶符摔	公办	男	配坼大学	330523197512221617
j4769	倪诛岁	公办	男	銯昷大学	330523195902221816
j4807	郭榈醒	公办	男	宪鉸大学	330523197011200914
j4848	高閭佲	人代	女	龈縐大学	330523198301051827
j4978	黄駘敦	公办	男	畻飬大学	330523760713181
j4980	黄纻椟	人代	男	遛緺大学	330523198402163238
j5008	王毻儏	公办	女	憫洯大学	330502196801260069
j5071	曹鰜闫	人代	女	庰埽大学	330523791003002
j5118	梅珬璞	人代	女	餀鼘大学	330523831125452
j5172	章駒夾	公办	男	閱怢大学	330523195310161637
j5252	熊妐刣	人代	男	趾嘩大学	362204198109115714
j5262	祝镄慇	人代	男	漞栨大学	330523198903250014
j5338	韩橺隳	公办	男	灻破大学	330523198005121317
j5352	彭愙恜	公办	男	鑪煪大学	330523195510091813
j5359	彭崫闃	人代	男	曀劈大学	362427198209260033
j5363	彭監萔	公办	男	坚庉大学	330602197712271030
j5432	程緇恆	人代	女	夳墂大学	330523198805130027
j5485	程揰鄺	人代	女	咷稜大学	330523198310133429
j5707	蔡嶪龗	人代	男	臓氓大学	330523198802221812
j5911	戴舢甖	公办	女	繅勒大学	330523760401562
j6000	过踍蟧	人代	男	錠鵤大学	33018219860206411X
j5341A	骆宄澎	人代	女	绬鞪大学	330523198809303626
j14	丁卂賞	公办	男	榡銔大学	330523197710073213
j280	王裗糽	公办	女	翄硦大学	330523196407125821
j289	王僸裬	人代	男	鎏缏大学	33052319801030111X
j621	方馷剝	公办	男	邮匵大学	330523195602102815
j752	孔鬓媁	公办	男	犡鐞大学	330523195807032814
j754	孔撂戰	公办	女	诫愼大学	330523197912012822
j1253	朱顭映	人代	女	嶀雚大学	330523198707203923
j1270	朱吾赹	人代	女	掸噇大学	330523199009055243
j1287	朱豠檗	人代	女	瓭睨大学	330523198209200527
j1606	伊菖郀	人代	男	鑽喆大学	330523198802030012
j1666	庄噗璘	公办	女	陁饿大学	330523197801310042
j1908	李奝嵂	公办	男	嗆給大学	330523197902023413
j1950	李驅詡	公办	男	牊磭大学	33052319781231433X
j1953	李鍖櫑	公办	男	槰嬤大学	330523197801215619
j2174	肖跰蹖	公办	男	篿苣大学	330523195501092814
j2450	陆勾蔤	人代	女	鉤眧大学	330523198502061327
j2656	陈諉曑	公办	女	誳溚大学	330523197901204327
j2705	陈蠎熨	人代	男	玢豟大学	330523198510033035
j3127	杨獑鬽	人代	女	磮繏大学	331002198511252020
j3603	周篣鬚	公办	男	缽嫞大学	330523196602162839
j3806	张憃禺	人代	男	冮霱大学	330523198709284712
j3999	郑痕虆	公办	男	軂褭大学	330523195508052815
j4030	郑莶稾	人代	女	哶憓大学	330523197012102523
j4041	胡鬽跬	公办	男	晎酥大学	330523531231281
j4137	赵倖赾	人代	男	珲钧大学	330523198108186818
j4221	徐橑缮	人代	女	卜眊大学	330501197805250843
j4275	徐浞缆	人代	女	捉瓪大学	330523197402053229
j4503	姜雙蔀	公办	男	瘈忱大学	330523196211032834
j4539	胥岅尕	人代	女	羰觡大学	330523198611103629
j4847	高朽芼	公办	男	蘕侟大学	330523198003072814
j4870	唐跆趃	公办	男	竰閗大学	330523195711262834
j4993	黄觭諿	公办	男	舯匀大学	330523195507222819
j5302	董渰鋶	公办	男	臲廜大学	330523196508292813
j285	王堼淨	公办	男	黮扌大学	330523196305285410
j431	王綉邛	公办	女	諱悘大学	330523197105190729
j596	方猐訟	人代	女	牗肂大学	330523198210044728
j710	邓赉餚	公办	女	奰搜大学	330523196508084328
j753	孔漱棇	公办	女	麌茵大学	330523197312241824
j948	冯綖煑	公办	男	燮憳大学	330523196601240719
j1383	刘宸珅	公办	男	僞碵大学	330523195807052815
j2618	陈宑廚	公办	女	烴襁大学	330523196806250742
j2758	陈呌搶	公办	男	恠禝大学	330523195606230718
j2874	余歗毜	人代	男	熓獃大学	36220219800409407X
j2894	余絪鴒	公办	男	楮邏大学	330523195806053613
j3136	杨驃靁	公办	男	揄侌大学	330523571122111
j3168	杨凿媒	人代	女	腸艾大学	330523730811392
j3191	杨溈鬃	公办	女	撟驽大学	330521197212050024
j3318	罗鐩杴	公办	男	誳哆大学	33052319610213281X
j3575	周擃蹎	公办	男	箾蟞大学	33052319631005561X
j3860	张潁鵥	公办	男	辚鯃大学	330523195712060011
j3950	张孕屖	人代	男	嬈岌大学	330523198210134715
j4001	郑冧蒢	公办	男	醖悃大学	330523681215111
j4102	胡不睈	公办	男	佄睡大学	330523197708251332
j5024	黄峕窙	人代	女	纁俴大学	330523198110292820
j5081	盛蘲鷚	公办	男	蕿蒗大学	330523196411036012
j5143	崔菛胀	公办	男	噋骡大学	330523195806270714
j5165	尉鯺朝	公办	男	蠐捇大学	330523195909210714
j5188	章鬝溲	公办	女	厺菭大学	330502196701210021
j5518	鲍鼂謈	公办	男	结杲大学	330523197604155215
j5590	曾襐馲	公办	女	汎戅大学	330523196202152324
j5893	潘鳛厱	人代	男	瘷菒大学	330523197709303413
j637	方魮嘢	公办	男	霫荶大学	330523570504541
j1889	李諴腰	公办	女	粁鰙大学	330502196811170024
j1904	李鯹馇	公办	男	萩潀大学	330702196903046419
j2773	陈冚燷	公办	女	圸版大学	330523196804271822
j3178	杨鬷腑	公办	女	阄鳉大学	330523197011030046
j3903	张奱僺	公办	女	槟又大学	330501197805230826
j4107	胡哅麗	人代	女	茟脜大学	330523197010166224
j4460	洪欴扫	公办	女	褔詥大学	330523630705002
j4735	钱椋頌	公办	女	咋嵼大学	330523196509010021
j5193	章玛吻	公办	女	驙葫大学	330523197009250023
j393	王籌弊	人代	女	禦忳大学	330523198201043045
j450	王皷蚾	人代	男	珘稆大学	330523197911035416
j990	卢騯归	公办	男	漁袬大学	33052319781209471X
j1534	江鴜猧	公办	女	笊訣大学	330523197511232824
j1786	李殥缍	公办	女	溼噷大学	330523195901063027
j1960	李藇柷	公办	男	懐克大学	33052319760719501X
j2066	吴狷净	公办	男	躖凍大学	330523195402155218
j2092	吴黎浛	人代	女	襌劯大学	33052319790222002X
j2095	吴脣坎	公办	男	寔吁大学	330523197010143217
j2117	吴纷耊	人代	男	趘庐大学	330523197903150916
j3021	邹瑱鈃	公办	女	噡懸大学	330523198103224723
j3126	杨畒譒	公办	男	閬肔大学	330523197006304516
j3173	杨蓲麚	公办	男	漻崙大学	330502691216005
j3203	杨樽肾	公办	男	袰駄大学	330523197512125414
j3531	周約鰿	公办	男	懪幭大学	330523651125091
j3543	周皸疏	公办	女	謐飳大学	330523196508254526
j3623	周鈲祕	公办	女	勵杬大学	330523196203290921
j3788	张染蠯	公办	女	剃祚大学	330602197612241029
j3938	张灡靱	人代	女	蜃獫大学	330523197912245626
j3946	张俌譟	人代	男	錎俉大学	330523198008050913
j4236	徐芇抗	公办	男	筡侬大学	330106197312024012
j4488	姜駍筒	人代	男	颕踶大学	330523198010072812
j4505	姜肚葤	公办	女	糝欭大学	330523197508071126
j4547	娄蠡臗	公办	男	嬰我大学	330523197507095214
j4627	莫悉雍	公办	男	塱靯大学	330523196509160935
j4719	袁艷鷑	公办	男	頱虦大学	330522195907141018
j4739	钱衴頙	公办	男	詴繭大学	330523630911251
j4808	郭麐贅	公办	男	瑂诟大学	330523197304110939
j4947	黄廱陹	公办	女	鼙璏大学	362524197407192520
j5023	黄喤贕	公办	男	弚缱大学	330523196801033933
j5066	曹妪乏	公办	女	霷釸大学	330523197302270322
j5481	程輭歟	人代	男	蒪瞆大学	330523198212233418
j5541	谢幸閾	公办	男	劳轐大学	330523195707290912
j5551	谢覝窞	公办	男	畛媱大学	330523196503302314
j5715	蔡攸檰	公办	男	嘨扟大学	330523195711063210
j5867	潘柹孰	公办	男	見辟大学	330523195506020019
j5970	於攛摡	公办	女	剂凹大学	330523197906190921
j5973	席鹧粶	公办	女	搂梉大学	33052319760724132X
j46	卜犅傝	公办	男	巑猊大学	330523197804276417
j126	马宿玗	公办	女	程埖大学	330523197911043926
j284	王焋柸	人代	女	懫昱大学	330523198610016240
j858	叶蠇匔	人代	女	膠闘大学	330523198904066825
j1050	阮獲先	公办	男	伾矂大学	330523195703266819
j1089	左爱抎	人代	男	曭萦大学	330523199010051311
j1128	吕虌犙	人代	男	翷鮗大学	330523198011085412
j2002	茅歙鵞	人代	女	蹭诳大学	330523198412210042
j2029	吴莃痕	人代	男	俟溫大学	340825197905294818
j2043	吴鑞猪	公办	男	怞绠大学	330523197212092833
j2953	何肿秋	人代	男	鞉定大学	330523198810085013
j3632	周笄殞	公办	女	绞怹大学	330523197708031129
j3779	张彬無	人代	女	鎾徧大学	330523198607195460
j3926	张蝕唍	人代	男	隭卲大学	330523198212186818
j3941	张庌籆	人代	男	蒛鋠大学	330523801112251
j4207	徐攽掵	人代	女	踾慯大学	330523199002043223
j4296	俞烢蒼	公办	男	枅湝大学	330523197011206814
j4323	俞鮑栃	公办	男	愧嵈大学	330523195704156814
j4471	洪禂饓	公办	男	惥簫大学	330523710504541
j5298	董恜鮞	人代	女	虥縟大学	33052319890806662X
j5438	程禨钧	公办	男	魐眞大学	330523197606292512
j5865	泮饰箳	人代	女	滀飘大学	330523810130624
g8.117	李榳焃	合同工	女	智岸大学	330523196905156428
j45	卜隰峞	公办	女	墾襐大学	330501198112050843
j128	马錫癅	公办	女	扢憄大学	330523197410286428
j454	王遦壃	人代	女	詮鑳大学	330523198703203221
j1420	刘頭熠	公办	女	砎魙大学	330523198001265823
j1913	李肚浤	公办	男	鄳紌大学	330523198006216211
j2045	吴剽戆	公办	女	鄕概大学	330523197807080022
j2512	沈楣镲	人代	女	纓羋大学	330523198510023443
j2797	陈匪痷	公办	女	珕襾大学	330523197803142521
j2798	陈芗蟧	公办	女	繥痧大学	330523197709046429
j3147	杨唋贜	公办	男	盭穋大学	330523195802040014
j3207	杨湮蠻	公办	男	碮佗大学	330523198009236218
j3321	罗洑窨	公办	女	璅翷大学	330523196512306421
j3530	周甁诹	人代	女	苔绡大学	330523198710023667
j3570	周燗戨	公办	女	糄調大学	330523198107066822
j3612	周旖枰	公办	男	摖忧大学	330523195804056415
j3682	金峇齵	人代	女	佱垝大学	330523198607260066
j3734	金齲鹢	公办	女	坕峮大学	652402196501103329
j3953	张箝眝	人代	女	歩档大学	330523198308275049
j4078	胡岼鹷	人代	男	鐊蝈大学	33052319820220623X
j4124	胡蝜娠	人代	女	帆骣大学	330523198901033622
j4218	徐矲臇	公办	女	嵸狸大学	330523198201120020
j4353	顾榋栳	人代	男	羜蠽大学	330523198212036414
j4368	顾蹮鉱	公办	女	爛夡大学	330523197905056448
j4399	施默棦	公办	男	搠驢大学	330523197108042318
j4474	洪缽剸	公办	男	綶卶大学	330501197609010818
j4511	姜仼徇	人代	女	靮蹲大学	330523197901101328
j4680	夏坊髣	公办	女	猆鋫大学	330523197807315020
j4764	殷鴾恐	公办	男	靐讝大学	33050119820829085X
j4905	梁籿测	人代	男	唪占大学	330523820306501
j5028	黄俯觸	人代	女	鰫渶大学	330523198308225420
j5286	郝聑猀	公办	男	螀虑大学	330523198004283912
j5691	虞鵷渷	公办	女	殊净大学	330523196403216427
j5837	潘鵽瓭	公办	女	楦鰏大学	330523198104036441
g8.24	王丫庝	固定工	女	妤匭大学	330523640210322
g8.88	江峩椼	固定工	女	醦冽大学	330523196206010024
g9.1	何喯爋	固定工	女	嚴朲大学	330523631119002
j135	马欜幥	公办	女	孽俣大学	330523197501143924
j144	马娹硄	公办	女	鏾啲大学	330523197110086424
j265	王鹥軙	人代	女	奦規大学	372321197903122208
j292	王蕊炞	公办	女	鸫硡大学	330523196409153025
j297	王揢澔	公办	女	饂嵼大学	330523197411086225
j302	王迴憌	人代	女	偽恎大学	210921198310214343
j318	王瑕仔	公办	女	璣淩大学	330523195912151321
j337	王備剃	公办	男	畏禶大学	330523610516521
j344	王黲颉	人代	女	兝篌大学	330523781115392
j410	王邈簈	公办	女	鬆奯大学	330523197611280022
j446	王遀霋	公办	女	垗堗大学	330523197312013426
j499	王扐褋	人代	男	勜帢大学	330523791231005
j501	王蔚髋	人代	女	漳饿大学	220882198111160927
j635	方酂愜	公办	男	嗒鷤大学	330523195802150053
j642	方鮹秵	人代	女	扲敂大学	330501198207220841
j647	方錧迊	公办	女	簟頉大学	330523197410093220
j862	叶襘傧	公办	男	秵熂大学	330523195509270937
j872	叶酝媚	公办	女	桏飏大学	330523197411100023
j932	史巑鯊	公办	男	膤崀大学	330523196205155811
j978	卢鎭欇	公办	男	往矄大学	330523630414543
j1116	吕阷汥	人代	男	浲庳大学	330802198401025014
j1118	吕孹堈	人代	女	邠屿大学	330523801105392
j1119	吕笗鲡	公办	女	竑钤大学	330501197905220828
j1254	朱株饭	公办	男	幬仜大学	330523195803150012
j1273	朱廛燤	公办	女	釬壬大学	330523196203100024
j1338	刘羾鞔	人代	女	嗣莓大学	330523198309180041
j1364	刘鍞屿	公办	男	今昄大学	330523196711251611
j1367	刘樰怀	公办	女	痑偗大学	33052319610107112X
j1373	刘酧崆	公办	男	堝觼大学	330523196110186615
j1381	刘未益	公办	女	嚸馬大学	330502690920004
j1398	刘刌槴	公办	男	拇懈大学	330523196803052556
j1402	刘枋欏	公办	男	愕扩大学	330523196810052511
j1404	刘副撵	公办	男	槮盟大学	330523197011121116
j1414	刘二雼	公办	女	噯炒大学	330523196605304521
j1471	许鱚笖	公办	女	讪眀大学	330523196105030042
j1487	许蹏鍌	公办	女	瘰婗大学	330523197802273925
j1524	江劐忺	公办	男	彁掭大学	330523196301256014
j1551	孙墦炨	公办	女	葜嚥大学	330523197504261627
j1564	孙范懈	人代	女	鲯膶大学	330523198112090026
j1569	孙刴鱽	公办	女	嬗蜄大学	330523197401193422
j1584	孙蒶藖	公办	女	篶弦大学	330106196812034060
j1585	孙曥虡	公办	女	虲勺大学	330523197401104522
j1586	孙檦膤	人代	女	色曾大学	320721197907121844
j1677	严偺霪	公办	女	番鮀大学	330523197202241129
j1711	杜鞑興	公办	男	赬甄大学	330501197607160011
j1713	杜粈聕	公办	男	责殼大学	33052319570322001X
j1717	杜蛿烈	公办	女	忀忑大学	33050219690831002X
j1761	李辳葖	公办	女	唻垐大学	330523197606181126
j1781	李煉锽	公办	女	鰽逘大学	330502196806050028
j1788	李鋵婛	公办	女	剬寮大学	330523750105582
j1790	李瞌馳	公办	男	現鐬大学	330523195711081814
j1794	李額坉	公办	女	奲鞾大学	330523640524582
j1809	李淌騐	公办	男	嫹椃大学	330523196204271116
j1815	李頾佗	公办	女	踰黝大学	330523196712260026
j1873	李萕栽	公办	男	坵扦大学	330523196702082836
j1891	李鱏宝	公办	女	蜯椃大学	330523196803040045
j1940	李搂躅	公办	女	奀惑大学	330523197303205821
j1943	李粚醎	公办	女	囷籼大学	330523197601050346
j1959	李嗗运	公办	女	脘烔大学	150403197309052024
j2053	吴碉洱	公办	男	榵鬤大学	330523196406155412
j2088	吴谅霛	公办	女	戉羾大学	330523197709173428
j2106	吴槐糍	公办	男	桑誰大学	33050719750811005X
j2108	吴燾碜	公办	女	朣鋵大学	330523198010315220
j2167	肖坢騪	公办	男	圹综大学	330523195805044715
j2213	应鶝負	公办	女	木挕大学	330523197202150024
j2239	汪莋怬	公办	女	冔叭大学	330523197006232129
j2262	汪诔羘	公办	男	吁閲大学	330523197108016216
j2313	汤絠傱	公办	女	稬塚大学	332501198303120260
j2531	沈鍌项	公办	男	嘻叩大学	330523196311156412
j2571	沈墾詀	公办	女	鱸飇大学	330523197105093021
j2604	陈漽囝	公办	女	谨銢大学	330105197905232523
j2613	陈嫐浂	公办	男	廵浢大学	330523197906282519
j2640	陈槮軄	公办	男	抮繹大学	330523196908016711
j2642	陈櫀测	公办	女	暤澥大学	330523197502261148
j2652	陈屍覔	公办	男	煖园大学	330523571015131
j2666	陈痶鈥	公办	女	硌獼大学	330523195701294728
j2696	陈簬缭	公办	男	蝷纤大学	330523197503285213
